iter	Logloss
0	0.6168225783
1	0.559216038
2	0.5097009407
3	0.4732454228
4	0.4463904954
5	0.4259883875
6	0.4095429473
7	0.3940115127
8	0.3827218015
9	0.3718806959
10	0.3640499902
11	0.356299067
12	0.350247617
13	0.3458395446
14	0.3425648827
15	0.3383840599
16	0.3357333358
17	0.3332248295
18	0.3301560394
19	0.3281834879
20	0.3265174563
21	0.3244067807
22	0.3226471578
23	0.320909616
24	0.3197611637
25	0.3182155271
26	0.3170431946
27	0.3159390553
28	0.3151981143
29	0.3141955042
30	0.31352209
31	0.3118726421
32	0.3111375344
33	0.3102461669
34	0.3096427779
35	0.3088356189
36	0.3081151691
37	0.3075945561
38	0.3071609428
39	0.3062455396
40	0.3055790963
41	0.3050897442
42	0.3044638747
43	0.3040226343
44	0.3034306874
45	0.3028524424
46	0.3024278543
47	0.3021679687
48	0.3017839312
49	0.3012179829
50	0.3010086841
51	0.2997666611
52	0.2993523265
53	0.2990125558
54	0.2987879706
55	0.2985203794
56	0.2979200592
57	0.2968899969
58	0.2965651482
59	0.296090151
60	0.2955372077
61	0.2952567222
62	0.2949016916
63	0.2945901272
64	0.2943101486
65	0.2938934779
66	0.2936154268
67	0.2935515005
68	0.2934115924
69	0.2928748743
70	0.2927012241
71	0.2923431756
72	0.2920483575
73	0.2917990373
74	0.2915490653
75	0.291426365
76	0.2910626551
77	0.290844367
78	0.2907078754
79	0.2905893823
80	0.2903361571
81	0.2902247371
82	0.2900204151
83	0.289445629
84	0.2892690704
85	0.2891659098
86	0.2890260441
87	0.2888948563
88	0.2888528837
89	0.2887574159
90	0.2884943006
91	0.2882542498
92	0.2878989804
93	0.287529258
94	0.287377824
95	0.2873157898
96	0.2871603961
97	0.2870810975
98	0.2870285634
99	0.2868630339
100	0.2867344784
101	0.2865872233
102	0.2864294608
103	0.2863940793
104	0.2861878734
105	0.2854175151
106	0.2852141289
107	0.2851467393
108	0.28502427
109	0.2847226089
110	0.2845783294
111	0.2844123388
112	0.284304245
113	0.2842260482
114	0.2841854144
115	0.2840620102
116	0.2837689091
117	0.2837570251
118	0.2836589387
119	0.2835121528
120	0.2833273636
121	0.283256035
122	0.2831704866
123	0.2829469209
124	0.2823458342
125	0.2821809054
126	0.2819722555
127	0.281805202
128	0.2816988587
129	0.2812611379
130	0.2812025905
131	0.2806462697
132	0.2801339902
133	0.2800017441
134	0.2798276253
135	0.2796004269
136	0.2795103233
137	0.2794651381
138	0.2789540347
139	0.2787406407
140	0.2784263703
141	0.2783301544
142	0.2782256066
143	0.2781200951
144	0.2780425646
145	0.2779992259
146	0.2774036608
147	0.2772446701
148	0.2771778307
149	0.2770472609
150	0.2769126254
151	0.2764650684
152	0.276323481
153	0.2758853343
154	0.2757972121
155	0.2756231965
156	0.2754687362
157	0.2754078478
158	0.2753031581
159	0.2752515585
160	0.2751160122
161	0.2749469371
162	0.2748802135
163	0.2748311124
164	0.2746093577
165	0.2745164118
166	0.274392235
167	0.2742353374
168	0.2741705683
169	0.2741094934
170	0.274038654
171	0.2739800958
172	0.2738980294
173	0.2738346766
174	0.27365088
175	0.273577391
176	0.2734198697
177	0.2733331527
178	0.2730999629
179	0.272999572
180	0.272925109
181	0.2728017077
182	0.2727309668
183	0.2726475785
184	0.2725414857
185	0.2724071609
186	0.2723818004
187	0.2723423818
188	0.2723095572
189	0.2722569878
190	0.2721143032
191	0.2719312778
192	0.2718662952
193	0.2718288281
194	0.2716944928
195	0.2716053006
196	0.271461977
197	0.2714363138
198	0.2714272154
199	0.2713488172
