iter	Passed	Remaining
0	99	19779
1	189	18731
2	269	17666
3	356	17456
4	437	17068
5	522	16900
6	610	16825
7	687	16495
8	769	16331
9	852	16194
10	933	16039
11	1014	15898
12	1100	15827
13	1181	15703
14	1266	15619
15	1357	15607
16	1439	15493
17	1527	15443
18	1617	15413
19	1708	15374
20	1781	15183
21	1866	15102
22	1953	15031
23	2038	14946
24	2124	14874
25	2210	14794
26	2297	14724
27	2385	14654
28	2474	14590
29	2567	14546
30	2658	14494
31	2760	14494
32	2854	14445
33	2944	14378
34	3032	14297
35	3121	14221
36	3205	14120
37	3290	14027
38	3381	13958
39	3462	13850
40	3545	13749
41	3633	13668
42	3721	13589
43	3809	13505
44	3895	13416
45	3985	13341
46	4084	13294
47	4175	13223
48	4270	13159
49	4361	13084
50	4446	12992
51	4538	12917
52	4626	12833
53	4717	12754
54	4803	12664
55	4897	12592
56	4993	12528
57	5081	12440
58	5170	12357
59	5262	12279
60	5350	12191
61	5436	12099
62	5524	12012
63	5611	11924
64	5698	11834
65	5789	11754
66	5884	11680
67	5975	11599
68	6066	11517
69	6151	11424
70	6243	11343
71	6339	11269
72	6433	11193
73	6526	11113
74	6620	11034
75	6706	10942
76	6771	10816
77	6853	10719
78	6944	10635
79	7034	10551
80	7131	10476
81	7220	10390
82	7311	10306
83	7406	10228
84	7512	10164
85	7603	10079
86	7699	10000
87	7789	9914
88	7866	9811
89	7964	9734
90	8046	9637
91	8129	9543
92	8221	9459
93	8311	9372
94	8401	9286
95	8499	9207
96	8593	9125
97	8681	9036
98	8762	8939
99	8846	8846
100	8937	8760
101	9032	8678
102	9124	8592
103	9212	8503
104	9300	8414
105	9406	8341
106	9473	8233
107	9553	8138
108	9620	8031
109	9727	7958
110	10718	8593
111	10718	8593
112	11180	8685
113	11331	8623
114	11376	8482
115	11416	8338
116	11454	8195
117	11492	8054
118	11538	7920
119	11580	7785
120	11621	7651
121	11835	7629
122	12011	7580
123	12205	7541
124	12432	7519
125	12833	7597
126	13232	7666
127	13337	7561
128	13402	7434
129	13443	7294
130	13480	7155
131	13519	7017
132	13559	6882
133	13600	6749
134	13640	6616
135	13681	6486
136	13724	6357
137	13770	6232
138	13816	6107
139	13856	5981
140	13900	5858
141	13946	5736
142	13984	5613
143	14021	5491
144	14059	5370
145	14097	5250
146	14173	5145
147	14229	5033
148	14285	4922
149	14340	4812
150	14387	4699
151	14427	4586
152	14469	4474
153	14509	4362
154	14560	4254
155	14606	4146
156	14647	4037
157	14687	3929
158	14731	3822
159	14770	3715
160	14817	3611
161	14856	3506
162	14896	3402
163	14931	3297
164	14972	3195
165	15010	3093
166	15049	2991
167	15092	2892
168	15137	2793
169	15177	2694
170	15215	2595
171	15255	2498
172	15299	2401
173	15339	2305
174	15383	2210
175	15423	2115
176	15459	2020
177	15500	1926
178	15545	1834
179	15584	1741
180	15623	1649
181	15662	1557
182	15699	1466
183	15740	1376
184	15780	1286
185	15823	1197
186	15862	1108
187	15902	1020
188	15941	932
189	15983	845
190	16020	758
191	16062	672
192	16104	587
193	16142	501
194	16181	417
195	16220	332
196	16263	248
197	16301	165
198	16338	82
199	16383	0
